iter	Passed	Remaining
0	18	14778
1	32	12919
2	47	12500
3	61	12300
4	75	12037
5	84	11198
6	93	10558
7	102	10183
8	113	9933
9	123	9722
10	132	9486
11	141	9288
12	148	8978
13	160	9002
14	170	8936
15	179	8782
16	189	8718
17	197	8568
18	205	8437
19	213	8310
20	222	8265
21	230	8144
22	238	8043
23	244	7912
24	252	7826
25	259	7717
26	266	7643
27	275	7596
28	283	7535
29	291	7473
30	298	7392
31	305	7334
32	312	7251
33	318	7180
34	325	7117
35	333	7079
36	342	7055
37	350	7022
38	358	6985
39	365	6941
40	372	6891
41	381	6881
42	389	6863
43	396	6818
44	405	6798
45	412	6765
46	420	6740
47	430	6740
48	437	6712
49	444	6660
50	451	6626
51	458	6594
52	465	6558
53	472	6521
54	482	6536
55	491	6523
56	498	6494
57	507	6492
58	514	6456
59	523	6455
60	529	6417
61	537	6397
62	543	6363
63	551	6343
64	559	6330
65	566	6301
66	575	6295
67	584	6295
68	592	6273
69	601	6271
70	610	6265
71	618	6252
72	625	6229
73	630	6189
74	639	6177
75	646	6154
76	653	6135
77	659	6107
78	666	6079
79	674	6069
80	683	6068
81	690	6042
82	697	6021
83	704	6008
84	714	6007
85	721	5991
86	729	5975
87	736	5956
88	744	5946
89	750	5923
90	759	5915
91	765	5890
92	771	5863
93	779	5855
94	789	5855
95	795	5837
96	804	5827
97	810	5808
98	816	5784
99	825	5775
100	832	5758
101	839	5747
102	847	5732
103	853	5711
104	861	5699
105	867	5681
106	874	5663
107	880	5641
108	889	5636
109	897	5630
110	904	5616
111	913	5608
112	920	5595
113	928	5585
114	934	5566
115	941	5551
116	947	5529
117	955	5523
118	963	5511
119	969	5495
120	975	5474
121	982	5462
122	990	5451
123	997	5436
124	1004	5424
125	1012	5415
126	1019	5404
127	1027	5394
128	1034	5378
129	1041	5369
130	1050	5362
131	1057	5353
132	1064	5339
133	1073	5334
134	1082	5332
135	1089	5319
136	1097	5308
137	1104	5298
138	1111	5287
139	1119	5278
140	1127	5268
141	1133	5250
142	1141	5242
143	1146	5224
144	1157	5228
145	1164	5216
146	1173	5211
147	1180	5202
148	1189	5196
149	1196	5183
150	1203	5174
151	1209	5156
152	1216	5143
153	1223	5131
154	1230	5120
155	1237	5108
156	1245	5101
157	1253	5091
158	1260	5083
159	1267	5071
160	1276	5065
161	1282	5050
162	1289	5039
163	1296	5029
164	1304	5020
165	1311	5010
166	1319	5002
167	1324	4983
168	1331	4972
169	1338	4960
170	1345	4949
171	1352	4937
172	1360	4929
173	1366	4916
174	1374	4909
175	1381	4897
176	1388	4886
177	1394	4872
178	1401	4861
179	1408	4851
180	1416	4843
181	1422	4828
182	1429	4818
183	1438	4814
184	1447	4813
185	1455	4806
186	1462	4794
187	1469	4785
188	1478	4779
189	1486	4771
190	1493	4763
191	1501	4753
192	1507	4742
193	1514	4731
194	1521	4721
195	1528	4711
196	1536	4702
197	1543	4693
